Exchange,Symbol,ISIN,Security ID,SecurityType,Security Desc.,Expiry/Series,round,OptionType,StrikePrice,Multiplier,TickSize,TradingUnitFactor,Divider,BaseCurrency,SettleCurrency,Digits,Product ID,
MT5_NSE,AARTIIND,,AARTIIND.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,AARTIIND.F25,
MT5_NSE,AARTIIND,,AARTIIND.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,AARTIIND.G25,
MT5_NSE,ABB,,ABB.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,ABB.F25,
MT5_NSE,ABB,,ABB.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,ABB.G25,
MT5_NSE,ABBOTINDIA,,ABBOTINDIA.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,ABBOTINDIA.F25,
MT5_NSE,ABBOTINDIA,,ABBOTINDIA.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,ABBOTINDIA.G25,
MT5_NSE,ABCAPITAL,,ABCAPITAL.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,ABCAPITAL.F25,
MT5_NSE,ABCAPITAL,,ABCAPITAL.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,ABCAPITAL.G25,
MT5_NSE,ABFRL,,ABFRL.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,ABFRL.F25,
MT5_NSE,ABFRL,,ABFRL.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,ABFRL.G25,
MT5_NSE,ACC,,ACC.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,ACC.F25,
MT5_NSE,ACC,,ACC.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,ACC.G25,
MT5_NSE,ADANIENT,,ADANIENT.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,ADANIENT.F25,
MT5_NSE,ADANIENT,,ADANIENT.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,ADANIENT.G25,
MT5_NSE,ADANIPORTS,,ADANIPORTS.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,ADANIPORTS.F25,
MT5_NSE,ADANIPORTS,,ADANIPORTS.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,ADANIPORTS.G25,
MT5_NSE,ALKEM,,ALKEM.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,ALKEM.F25,
MT5_NSE,ALKEM,,ALKEM.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,ALKEM.G25,
MT5_NSE,AMARAJABAT,,AMARAJABAT.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,AMARAJABAT.F25,
MT5_NSE,AMARAJABAT,,AMARAJABAT.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,AMARAJABAT.G25,
MT5_NSE,AMBUJACEM,,AMBUJACEM.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,AMBUJACEM.F25,
MT5_NSE,AMBUJACEM,,AMBUJACEM.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,AMBUJACEM.G25,
MT5_NSE,APLLTD,,APLLTD.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,APLLTD.F25,
MT5_NSE,APLLTD,,APLLTD.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,APLLTD.G25,
MT5_NSE,APOLLOHOSP,,APOLLOHOSP.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,APOLLOHOSP.F25,
MT5_NSE,APOLLOHOSP,,APOLLOHOSP.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,APOLLOHOSP.G25,
MT5_NSE,APOLLOTYRE,,APOLLOTYRE.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,APOLLOTYRE.F25,
MT5_NSE,APOLLOTYRE,,APOLLOTYRE.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,APOLLOTYRE.G25,
MT5_NSE,ASHOKLEY,,ASHOKLEY.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,ASHOKLEY.F25,
MT5_NSE,ASHOKLEY,,ASHOKLEY.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,ASHOKLEY.G25,
MT5_NSE,ASIANPAINT,,ASIANPAINT.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,ASIANPAINT.F25,
MT5_NSE,ASIANPAINT,,ASIANPAINT.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,ASIANPAINT.G25,
MT5_NSE,ASTRAL,,ASTRAL.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,ASTRAL.F25,
MT5_NSE,ASTRAL,,ASTRAL.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,ASTRAL.G25,
MT5_NSE,ATUL,,ATUL.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,ATUL.F25,
MT5_NSE,ATUL,,ATUL.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,ATUL.G25,
MT5_NSE,AUBANK,,AUBANK.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,AUBANK.F25,
MT5_NSE,AUBANK,,AUBANK.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,AUBANK.G25,
MT5_NSE,AUROPHARMA,,AUROPHARMA.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,AUROPHARMA.F25,
MT5_NSE,AUROPHARMA,,AUROPHARMA.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,AUROPHARMA.G25,
MT5_NSE,AXISBANK,,AXISBANK.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,AXISBANK.F25,
MT5_NSE,AXISBANK,,AXISBANK.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,AXISBANK.G25,
MT5_NSE,BAJAJ-AUTO,,BAJAJ-AUTO.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,BAJAJ-AUTO.F25,
MT5_NSE,BAJAJ-AUTO,,BAJAJ-AUTO.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,BAJAJ-AUTO.G25,
MT5_NSE,BAJAJAUTO,,BAJAJAUTO.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,BAJAJAUTO.F25,
MT5_NSE,BAJAJAUTO,,BAJAJAUTO.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,BAJAJAUTO.G25,
MT5_NSE,BAJAJFINSV,,BAJAJFINSV.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,BAJAJFINSV.F25,
MT5_NSE,BAJAJFINSV,,BAJAJFINSV.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,BAJAJFINSV.G25,
MT5_NSE,BAJFINANCE,,BAJFINANCE.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,BAJFINANCE.F25,
MT5_NSE,BAJFINANCE,,BAJFINANCE.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,BAJFINANCE.G25,
MT5_NSE,BALKRISIND,,BALKRISIND.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,BALKRISIND.F25,
MT5_NSE,BALKRISIND,,BALKRISIND.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,BALKRISIND.G25,
MT5_NSE,BALRAMCHIN,,BALRAMCHIN.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,BALRAMCHIN.F25,
MT5_NSE,BALRAMCHIN,,BALRAMCHIN.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,BALRAMCHIN.G25,
MT5_NSE,BANDHANBNK,,BANDHANBNK.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,BANDHANBNK.F25,
MT5_NSE,BANDHANBNK,,BANDHANBNK.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,BANDHANBNK.G25,
MT5_NSE,BANKBARODA,,BANKBARODA.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,BANKBARODA.F25,
MT5_NSE,BANKBARODA,,BANKBARODA.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,BANKBARODA.G25,
MT5_NSE,BANKNIFTY,,BANKNIFTY.F25,Future,NSE Future,20250129,,XX,0,1,1,1,1,INR,INR,2,BANKNIFTY.F25,
MT5_NSE,BANKNIFTY,,BANKNIFTY.G25,Future,NSE Future,20250225,,XX,0,1,1,1,1,INR,INR,2,BANKNIFTY.G25,
MT5_NSE,BATAINDIA,,BATAINDIA.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,BATAINDIA.F25,
MT5_NSE,BATAINDIA,,BATAINDIA.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,BATAINDIA.G25,
MT5_NSE,BEL,,BEL.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,BEL.F25,
MT5_NSE,BEL,,BEL.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,BEL.G25,
MT5_NSE,BERGEPAINT,,BERGEPAINT.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,BERGEPAINT.F25,
MT5_NSE,BERGEPAINT,,BERGEPAINT.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,BERGEPAINT.G25,
MT5_NSE,BHARATFORG,,BHARATFORG.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,BHARATFORG.F25,
MT5_NSE,BHARATFORG,,BHARATFORG.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,BHARATFORG.G25,
MT5_NSE,BHARTIARTL,,BHARTIARTL.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,BHARTIARTL.F25,
MT5_NSE,BHARTIARTL,,BHARTIARTL.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,BHARTIARTL.G25,
MT5_NSE,BHEL,,BHEL.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,BHEL.F25,
MT5_NSE,BHEL,,BHEL.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,BHEL.G25,
MT5_NSE,BIOCON,,BIOCON.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,BIOCON.F25,
MT5_NSE,BIOCON,,BIOCON.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,BIOCON.G25,
MT5_NSE,BOSCHLTD,,BOSCHLTD.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,BOSCHLTD.F25,
MT5_NSE,BOSCHLTD,,BOSCHLTD.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,BOSCHLTD.G25,
MT5_NSE,BPCL,,BPCL.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,BPCL.F25,
MT5_NSE,BPCL,,BPCL.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,BPCL.G25,
MT5_NSE,BRITANNIA,,BRITANNIA.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,BRITANNIA.F25,
MT5_NSE,BRITANNIA,,BRITANNIA.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,BRITANNIA.G25,
MT5_NSE,BSOFT,,BSOFT.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,BSOFT.F25,
MT5_NSE,BSOFT,,BSOFT.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,BSOFT.G25,
MT5_NSE,CADILAHC,,CADILAHC.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,CADILAHC.F25,
MT5_NSE,CADILAHC,,CADILAHC.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,CADILAHC.G25,
MT5_NSE,CANBK,,CANBK.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,CANBK.F25,
MT5_NSE,CANBK,,CANBK.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,CANBK.G25,
MT5_NSE,CANFINHOME,,CANFINHOME.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,CANFINHOME.F25,
MT5_NSE,CANFINHOME,,CANFINHOME.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,CANFINHOME.G25,
MT5_NSE,CENTURYTEX,,CENTURYTEX.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,CENTURYTEX.F25,
MT5_NSE,CENTURYTEX,,CENTURYTEX.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,CENTURYTEX.G25,
MT5_NSE,CHAMBLFERT,,CHAMBLFERT.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,2,CHAMBLFERT.F25,
MT5_NSE,CHAMBLFERT,,CHAMBLFERT.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,2,CHAMBLFERT.G25,
MT5_NSE,CHOLAFIN,,CHOLAFIN.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,CHOLAFIN.F25,
MT5_NSE,CHOLAFIN,,CHOLAFIN.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,CHOLAFIN.G25,
MT5_NSE,CIPLA,,CIPLA.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,CIPLA.F25,
MT5_NSE,CIPLA,,CIPLA.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,CIPLA.G25,
MT5_NSE,COALINDIA,,COALINDIA.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,COALINDIA.F25,
MT5_NSE,COALINDIA,,COALINDIA.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,COALINDIA.G25,
MT5_NSE,COFORGE,,COFORGE.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,COFORGE.F25,
MT5_NSE,COFORGE,,COFORGE.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,COFORGE.G25,
MT5_NSE,COLPAL,,COLPAL.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,COLPAL.F25,
MT5_NSE,COLPAL,,COLPAL.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,COLPAL.G25,
MT5_NSE,CONCOR,,CONCOR.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,CONCOR.F25,
MT5_NSE,CONCOR,,CONCOR.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,CONCOR.G25,
MT5_NSE,COROMANDEL,,COROMANDEL.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,COROMANDEL.F25,
MT5_NSE,COROMANDEL,,COROMANDEL.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,COROMANDEL.G25,
MT5_NSE,CROMPTON,,CROMPTON.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,CROMPTON.F25,
MT5_NSE,CROMPTON,,CROMPTON.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,CROMPTON.G25,
MT5_NSE,CUB,,CUB.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,CUB.F25,
MT5_NSE,CUB,,CUB.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,CUB.G25,
MT5_NSE,CUMMINSIND,,CUMMINSIND.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,CUMMINSIND.F25,
MT5_NSE,CUMMINSIND,,CUMMINSIND.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,CUMMINSIND.G25,
MT5_NSE,DABUR,,DABUR.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,DABUR.F25,
MT5_NSE,DABUR,,DABUR.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,DABUR.G25,
MT5_NSE,DALBHARAT,,DALBHARAT.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,DALBHARAT.F25,
MT5_NSE,DALBHARAT,,DALBHARAT.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,DALBHARAT.G25,
MT5_NSE,DEEPAKNTR,,DEEPAKNTR.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,DEEPAKNTR.F25,
MT5_NSE,DEEPAKNTR,,DEEPAKNTR.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,DEEPAKNTR.G25,
MT5_NSE,DELTACORP,,DELTACORP.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,DELTACORP.F25,
MT5_NSE,DELTACORP,,DELTACORP.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,DELTACORP.G25,
MT5_NSE,DIVISLAB,,DIVISLAB.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,DIVISLAB.F25,
MT5_NSE,DIVISLAB,,DIVISLAB.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,DIVISLAB.G25,
MT5_NSE,DIXON,,DIXON.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,DIXON.F25,
MT5_NSE,DIXON,,DIXON.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,DIXON.G25,
MT5_NSE,DLF,,DLF.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,DLF.F25,
MT5_NSE,DLF,,DLF.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,DLF.G25,
MT5_NSE,DRREDDY,,DRREDDY.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,DRREDDY.F25,
MT5_NSE,DRREDDY,,DRREDDY.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,DRREDDY.G25,
MT5_NSE,EICHERMOT,,EICHERMOT.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,EICHERMOT.F25,
MT5_NSE,EICHERMOT,,EICHERMOT.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,EICHERMOT.G25,
MT5_NSE,ESCORTS,,ESCORTS.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,ESCORTS.F25,
MT5_NSE,ESCORTS,,ESCORTS.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,ESCORTS.G25,
MT5_NSE,EXIDEIND,,EXIDEIND.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,EXIDEIND.F25,
MT5_NSE,EXIDEIND,,EXIDEIND.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,EXIDEIND.G25,
MT5_NSE,FEDERALBNK,,FEDERALBNK.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,FEDERALBNK.F25,
MT5_NSE,FEDERALBNK,,FEDERALBNK.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,FEDERALBNK.G25,
MT5_NSE,FINNIFTY,,FINNIFTY.F25,Future,NSE Future,20250128,,XX,0,1,1,1,1,INR,INR,,FINNIFTY.F25,
MT5_NSE,FINNIFTY,,FINNIFTY.G25,Future,NSE Future,20250225,,XX,0,1,1,1,1,INR,INR,,FINNIFTY.G25,
MT5_NSE,FSL,,FSL.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,FSL.F25,
MT5_NSE,FSL,,FSL.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,FSL.G25,
MT5_NSE,GAIL,,GAIL.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,GAIL.F25,
MT5_NSE,GAIL,,GAIL.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,GAIL.G25,
MT5_NSE,GLENMARK,,GLENMARK.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,GLENMARK.F25,
MT5_NSE,GLENMARK,,GLENMARK.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,GLENMARK.G25,
MT5_NSE,GMRINFRA,,GMRINFRA.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,GMRINFRA.F25,
MT5_NSE,GMRINFRA,,GMRINFRA.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,GMRINFRA.G25,
MT5_NSE,GNFC,,GNFC.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,GNFC.F25,
MT5_NSE,GNFC,,GNFC.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,GNFC.G25,
MT5_NSE,GODREJCP,,GODREJCP.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,GODREJCP.F25,
MT5_NSE,GODREJCP,,GODREJCP.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,GODREJCP.G25,
MT5_NSE,GODREJPROP,,GODREJPROP.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,GODREJPROP.F25,
MT5_NSE,GODREJPROP,,GODREJPROP.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,GODREJPROP.G25,
MT5_NSE,GRANULES,,GRANULES.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,GRANULES.F25,
MT5_NSE,GRANULES,,GRANULES.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,GRANULES.G25,
MT5_NSE,GRASIM,,GRASIM.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,GRASIM.F25,
MT5_NSE,GRASIM,,GRASIM.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,GRASIM.G25,
MT5_NSE,GSPL,,GSPL.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,GSPL.F25,
MT5_NSE,GSPL,,GSPL.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,GSPL.G25,
MT5_NSE,GUJGASLTD,,GUJGASLTD.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,GUJGASLTD.F25,
MT5_NSE,GUJGASLTD,,GUJGASLTD.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,GUJGASLTD.G25,
MT5_NSE,HAL,,HAL.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,HAL.F25,
MT5_NSE,HAL,,HAL.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,HAL.G25,
MT5_NSE,HAVELLS,,HAVELLS.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,HAVELLS.F25,
MT5_NSE,HAVELLS,,HAVELLS.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,HAVELLS.G25,
MT5_NSE,HCLTECH,,HCLTECH.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,HCLTECH.F25,
MT5_NSE,HCLTECH,,HCLTECH.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,HCLTECH.G25,
MT5_NSE,HDFC,,HDFC.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,HDFC.F25,
MT5_NSE,HDFC,,HDFC.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,HDFC.G25,
MT5_NSE,HDFCAMC,,HDFCAMC.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,HDFCAMC.F25,
MT5_NSE,HDFCAMC,,HDFCAMC.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,HDFCAMC.G25,
MT5_NSE,HDFCBANK,,HDFCBANK.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,HDFCBANK.F25,
MT5_NSE,HDFCBANK,,HDFCBANK.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,HDFCBANK.G25,
MT5_NSE,HDFCLIFE,,HDFCLIFE.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,HDFCLIFE.F25,
MT5_NSE,HDFCLIFE,,HDFCLIFE.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,HDFCLIFE.G25,
MT5_NSE,HEROMOTOCO,,HEROMOTOCO.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,HEROMOTOCO.F25,
MT5_NSE,HEROMOTOCO,,HEROMOTOCO.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,HEROMOTOCO.G25,
MT5_NSE,HINDALCO,,HINDALCO.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,HINDALCO.F25,
MT5_NSE,HINDALCO,,HINDALCO.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,HINDALCO.G25,
MT5_NSE,HINDCOPPER,,HINDCOPPER.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,HINDCOPPER.F25,
MT5_NSE,HINDCOPPER,,HINDCOPPER.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,HINDCOPPER.G25,
MT5_NSE,HINDPETRO,,HINDPETRO.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,HINDPETRO.F25,
MT5_NSE,HINDPETRO,,HINDPETRO.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,HINDPETRO.G25,
MT5_NSE,HINDUNILVR,,HINDUNILVR.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,HINDUNILVR.F25,
MT5_NSE,HINDUNILVR,,HINDUNILVR.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,HINDUNILVR.G25,
MT5_NSE,HONAUT,,HONAUT.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,HONAUT.F25,
MT5_NSE,HONAUT,,HONAUT.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,HONAUT.G25,
MT5_NSE,IBULHSGFIN,,IBULHSGFIN.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,IBULHSGFIN.F25,
MT5_NSE,IBULHSGFIN,,IBULHSGFIN.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,IBULHSGFIN.G25,
MT5_NSE,ICICIBANK,,ICICIBANK.F25,Future,NSE Future,20250130,,XX,0,1,1,1,1,INR,INR,,ICICIBANK.F25,
MT5_NSE,ICICIBANK,,ICICIBANK.G25,Future,NSE Future,20250227,,XX,0,1,1,1,1,INR,INR,,ICICIBANK.G25,
